player_id,player_name,english_name,birth_year,notes
14609,Í∞ÄÎáΩ,Drew Gagnon,1990,
12514,Í≥†Î©îÏ¶à,Carlos Gomez,1988,
16088,ÎÑ§Ïùº,Ryder Neil,1993,
14602,Îç∞Ïä§ÌååÏù¥ÎÑ§,Odrisamer Despaigne,1987,
16066,Îç∞Ïù¥ÎπÑÏä®,Braxton Davidson,1991,
16162,ÎîîÏïÑÏ¶à,Lewin Diaz,1996,
14592,ÎùºÎ™®Ïä§,Henry Ramos,1992,
14596,ÎùºÏù¥Ìä∏,Richie Wright,1990,
16349,ÎùºÏùºÎ¶¨,Josh Riley,1996,
12961,Îü¨ÌîÑ,Darin Ruf,1986,
15861,Î†àÏòàÏä§,Franmil Reyes,1996,
16106,Î†àÏù¥ÏòàÏä§,Victor Reyes,1994,
11392,Î†àÏùºÎ¶¨,Ryan Feierabend,1985,
16350,Î°úÍ±¥,Nate Logan,1997,
12511,Î°úÏÇ¨Î¶¨Ïò§,Eddie Rosario,1989,
12959,Î°úÏπò,Eric Jokisch,1989,
15539,Î°úÌïòÏä§,Jose Rojas,1993,
12995,Î°úÌïòÏä§,Miguel Rojas,1989,
14629,ÎßàÏ∞®ÎèÑ,Dixon Machado,1992,
15008,ÎßàÌã∞Îãà,Nick Martini,1990,
15537,ÎßàÌã¥,J.D. Martin,1983,
14751,ÎØ∏ÎûÄÎã§,Ariel Miranda,1989,
15011,Î∞òÏ¶à,Matt Barnes,1995,
12956,Î≤àÏ¶à,Alex Burns,1990,
15143,Î≤§ÏûêÎØº,Wes Benjamin,1993,
13178,Î≥¥ÎãàÏïº,Lisalverto Bonilla,1990,
14617,Î∑∞Ï∫êÎÑå,David Buchanan,1989,
14610,Î∏åÎ£©Ïä§,Aaron Brooks,19990,
12992,Î∏åÎ¶¨Í≤Ä,Jake Brigham,1988,
13063,ÏÇ∞Ï≤¥Ïä§,Ángel Sánchez,1989,
13288,ÏÉåÏ¶à,Jerry Sands,1987,
13068,ÏÉòÏä®,Adrian Sampson,1991,
10933,ÏÜåÏÇ¨,Henry Sosa,1985,
14996,ÏÜåÌÅ¨ÎùºÌÖåÏä§,Socrates Brito,1992,
15001,ÏàòÏïÑÎ†àÏ¶à,Jose Suarez,1992,
14999,Ïä§ÌÉÅ,Robert Stock,1989,
11497,Ïä§ÌäúÏñ¥Ìä∏,Zach Stewart,1986,
13064,ÏïÑÎç∏Îßå,Tim Adleman,1987,
13941,ÏïåÏπ∏ÌÉÄÎùº,Raul Alcantara,1992,
14599,ÏïåÌÖåÏñ¥,Aaron Altherr,1991,
16146,Ïï§ÎçîÏä®,Andrew Anderson,1994,
12517,ÏóêÎ∞òÏä§,Nick Evans,1986,
16023,ÏóîÏä§,Dietrich Enns,1991,
15532,Ïò§Ïä§Ìã¥,Tyler Austin,1991,
16153,ÏôÄÏù¥Ïä§,Ryan Weiss,1996,
16262,ÏúÑÏ¶àÎç§,Patrick Wisdom,1991,
13062,ÏúåÏä®,Tyler Wilson,1989,
16299,Ïû≠Î°úÍ∑∏,Zach Logue,1996,
12510,ÏßÄÌÅ¨,Zeke Spruill,1989,
14760,Ïπ¥ÌéúÌÑ∞,Drew Carpenter,1985,
16300,ÏºÄÏù¥Î∏å,Jake Cave,1992,
13934,ÏºàÎ¶¨,Casey Kelly,1989,
11368,ÏºàÎ¶¨,Merrill Kelly,1988,
15860,ÏΩîÎÑà,Connor Seabold,1996,
16298,ÏΩúÏñ¥Îπà,Cole Irvin,1994,
13925,ÌÑ∞ÎÑà,Jacob Turner,1991,
14224,ÌÑ∞Ïª§,Preston Tucker,1990,
15146,ÌéòÎÉê,Felix Pena,1990,
13927,ÌéòÎ•¥ÎÇúÎç∞Ïä§,Jose Fernandez,1988,
16313,Ìè∞ÏÑ∏,Cody Ponce,1994,
14759,Ìè∞Ìä∏,Wilfredo Font,1990,
14756,ÌîÑÎûëÏΩî,Enderson Franco,1992,
14583,ÌïÄÌÜ†,Ricardo Pinto,1994,
16065,ÌïòÌä∏,Kyle Hart,1992,
11156,Ìï¥Ïª§,Eric Hacker,1983,
12509,Ìó•ÌÑ∞,Hector Noesi,1987,
11495,ÌûàÎ©îÎÑ§Ïä§,Luis Jimenez,1988,